AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-1.900001526,30.59999847,13.52999946,99.6428041,0.0,-0.3747,58.03921509,20,102,1298.0,13.48999977,13,-0.2181,22.71813583,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.599998474,31.5,14.05499946,101.7330165,0.900001526,-0.4714,54.50980377,20,102,1304.0,13.40999985,13,-0.2417,22.45456886,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.299999237,31.5,14.57999946,103.2626358,0.0,-0.3553,0.0,20,102,1262.5,13.77000046,13,-0.3022,22.20347214,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.900001526,28.79999924,15.05999945,102.852602,-2.700000763,-0.2411,2.745098114,20,102,1262.5,15.80000019,13,-0.162,22.08714294,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.799999237,27.89999962,15.52499944,101.5829159,-0.899999619,-0.3306,77.2549057,20,103,1128.5,12.47000027,13,-0.0352,21.90322113,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
0.400001526,27.89999962,15.98999944,99.87345022,0.0,-0.3691,72.54901886,20,103,1132.0,14.80000019,13,-0.0142,21.80143166,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
1.0,29.69999886,16.48499942,98.47654349,1.799999237,-0.3079,12.94117641,21,103,1195.0,13.27000046,13,-0.044,21.62854576,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
0.099998474,27.89999962,16.94999941,95.8591456,-1.799999237,-0.178,3.921568632,21,102,1160.0,14.85999966,13,-0.0772,21.5395298,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.0,26.09999847,17.38499939,92.21620499,-1.800001144,0.009,42.35294342,21,102,1065.0,10.93999958,13,-0.1631,21.33486366,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.199996948,22.5,17.71499939,88.89383242,-3.599998474,0.3755,43.52941132,21,102,796.5,6.610000134,13,-0.278,20.92161751,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.200000763,19.79999924,17.95499938,86.33844268,-2.700000763,0.5645,43.52941132,21,102,803.5,6.659999847,13,-0.4973,20.70625114,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.600002289,19.79999924,18.20999937,83.26158702,0.0,0.6374,43.92156982,21,102,806.0,6.579999924,13,-0.5053,20.69040489,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.400001526,19.79999924,18.47999936,79.61246864,0.0,0.6186,43.52941132,21,102,806.0,6.519999981,13,-0.564,20.80252838,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-0.200000763,4.5,18.52499936,78.20732461,-15.29999924,0.7444,43.52941132,22,102,807.0,6.579999924,13,-0.6945,21.07753754,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
0.599998474,0.0,18.49499936,79.28183302,-4.5,0.8567,43.13725662,22,102,814.0,6.71999979,13,-0.6783,21.07753754,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
0.099998474,0.0,18.40499937,82.16488358,0.0,0.8997,43.92156982,22,102,809.5,6.690000057,13,-0.6382,21.07753754,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
0.599998474,0.0,18.31499937,85.03145957,0.0,0.8212,43.52941132,22,102,801.5,6.610000134,13,-0.613,21.07753754,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
1.5,0.0,18.20999938,88.25887457,0.0,0.8392,44.31372452,22,102,811.0,6.519999981,13,-0.568,21.07753754,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
1.899997711,0.0,18.10499938,91.46386585,0.0,0.8482,45.49019623,22,102,810.5,6.630000114,13,-0.6306,21.07753754,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
