AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
1.299999237,21.3927536,18.39707563,150.9133118,0.0,0.8448,35.29411697,46,102,929.0,6.610000134,15,-0.5986,17.32785416,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.400001526,17.07629776,18.5916806,148.0412475,-4.316455841,0.8152,34.11764908,47,102,764.5,5.409999847,15,-0.6866,17.32387161,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-2.0,16.2249794,18.77209693,145.1535835,-0.851318359,0.765,38.03921509,47,102,778.5,5.579999924,15,-0.827,17.33023453,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.700000763,14.53994465,18.92442935,142.4028346,-1.685034752,0.2611,40.39215851,47,102,789.5,5.579999924,15,-0.8282,17.33023453,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.799999237,13.70839119,19.06290254,139.7442984,-0.831553459,0.1787,39.2156868,47,102,783.5,5.519999981,15,-0.8542,17.3422966,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.799999237,9.734988213,19.13515235,138.0497538,-3.973402977,0.1139,37.64706039,47,102,792.0,5.409999847,15,-0.8438,17.3488636,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.700000763,9.0,19.19515235,136.5895994,-0.734988213,-0.0528,37.25490189,47,102,788.5,5.659999847,15,-0.7769,17.33621979,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-2.399997711,7.029224873,19.22230611,135.8719607,-1.970775127,-0.1303,37.64706039,47,102,783.0,5.380000114,15,-0.7927,17.3075428,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-3.799999237,7.029224873,19.24945986,135.1528222,0.0,-0.1389,35.68627548,47,102,783.0,5.360000134,15,-0.5978,17.27224159,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-4.5,6.489992142,19.2676264,134.6609013,-0.539232731,-0.1019,61.17647171,47,102,787.5,5.690000057,15,-0.5117,17.25006676,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-2.400001526,6.489992142,19.28579295,134.1683092,0.0,-0.0463,38.4313736,47,102,840.5,6.800000191,15,-0.4909,17.24275208,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-2.599998474,6.03738308,19.296416,133.8750607,-0.452609062,0.0565,39.2156868,47,102,861.5,6.130000114,15,-0.5901,17.24021721,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-2.400001526,6.03738308,19.30703906,133.5815826,0.0,0.1644,31.37254906,47,102,851.0,6.21999979,15,-0.6304,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-2.299999237,6.03738308,19.31766212,133.287875,0.0,0.2167,40.7843132,47,102,777.0,5.110000134,15,-0.5637,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-3.300003052,5.399999619,19.31766212,133.287875,-0.637383461,0.1447,40.7843132,47,102,778.0,5.630000114,15,-0.5361,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-3.599998474,5.399999619,19.31766212,133.287875,0.0,0.2004,40.0,47,102,781.5,5.489999771,15,-0.5399,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-3.100002289,5.399999619,19.31766212,133.287875,0.0,0.1347,39.60784531,47,102,780.0,5.550000191,15,-0.5292,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-2.100002289,5.399999619,19.31766212,133.287875,0.0,0.1459,39.60784531,47,102,779.5,5.550000191,15,-0.5194,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.599998474,5.399999619,19.31766212,133.287875,0.0,0.1259,39.60784531,47,102,777.0,5.690000057,15,-0.4822,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.099998474,5.399999619,19.31766212,133.287875,0.0,0.0941,39.60784531,47,102,784.5,5.440000057,15,-0.4597,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-0.400001526,5.399999619,19.31766212,133.287875,0.0,0.0034,39.60784531,47,102,783.5,5.440000057,15,-0.3762,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.0,5.399999619,19.31766212,133.287875,0.0,0.0608,39.2156868,47,102,780.5,5.519999981,15,-0.2922,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-1.200000763,5.399999619,19.31766212,133.287875,0.0,0.007,40.39215851,47,102,782.0,5.46999979,15,-0.2116,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-0.599998474,5.399999619,19.31766212,133.287875,0.0,-0.0739,39.2156868,47,102,780.0,5.579999924,15,-0.1538,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-0.400001526,5.399999619,19.30703906,133.5815826,0.0,-0.1144,38.82352829,47,102,779.5,5.519999981,15,-0.1561,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-0.299999237,5.399999619,19.27988531,134.303901,0.0,-0.1147,39.60784531,47,102,786.0,5.519999981,15,-0.1578,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-0.299999237,5.399999619,19.18193583,136.4738823,0.0,-0.0983,39.2156868,47,102,785.0,5.489999771,15,-0.1493,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
0.0,5.399999619,19.08398636,138.6243501,0.0,-0.0544,38.4313736,48,102,782.0,5.489999771,15,-0.1355,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
0.0,5.399999619,18.93165394,141.4245343,0.0,-0.0652,39.60784531,48,102,784.5,5.550000191,15,-0.1639,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
-0.099998474,5.399999619,18.67960132,144.4204827,0.0,-0.029,39.2156868,48,102,784.5,5.489999771,15,-0.2079,17.30838203,UnevenCondition,HighCongestionCondition,EvenPaceStyle
