AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-2.5,29.69999886,10.42499963,77.13647749,-0.899999619,-0.4854,91.37255096,19,105,1269.5,16.62999916,14,-0.2392,24.0486393,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-2.0,30.59999847,10.93499961,81.92874804,0.899999619,-0.402,68.23529816,19,105,1339.0,15.35999966,14,-0.3087,23.75242615,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-5.800003052,32.39999771,11.47499957,87.41478074,1.799999237,-0.2828,1.960784316,19,102,1310.0,16.57999992,14,-0.3485,23.57717323,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-5.300003052,32.39999771,12.01499953,92.30772878,0.0,-0.3024,1.568627477,19,102,1219.5,12.60999966,14,-0.3969,23.26122284,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-3.599998474,29.69999886,12.50999951,94.91277096,-2.699998856,-0.2932,59.60784531,19,102,1241.0,13.55000019,13,-0.2785,22.9947834,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
-1.900001526,30.59999847,13.01999949,97.54229598,0.899999619,-0.3047,57.64706039,19,102,1262.5,13.55000019,13,-0.2287,22.9947834,UnevenCondition,NormalCongestionCondition,EvenPaceStyle
1.899997711,31.5,43.97999865,61.32568916,-4.5,-0.9029,30.19607925,78,103,751.0,4.190000057,30,-0.0909,10.52296829,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
1.799999237,28.79999924,43.88999863,63.60192685,-2.700000763,-0.7122,29.01960754,78,103,755.5,4.269999981,30,-0.1867,10.45772076,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
0.799999237,26.09999847,43.78499864,66.71722319,-2.700000763,-0.576,44.70588303,78,103,750.0,4.239999771,30,-0.1839,10.39582825,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
0.900001526,27.0,43.72499866,68.5422393,0.900001526,-0.5044,0.0,78,102,1115.0,11.88000011,29,-0.1845,10.40332603,FullOfHolesCondition,LowCongestionCondition,AggressiveStyle
0.399997711,27.0,43.67999868,69.9473827,0.0,-0.4902,0.0,78,104,1048.5,12.32999992,28,-0.2756,10.41473293,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-0.799999237,25.19999886,43.60499868,72.41742505,-1.800001144,-0.5785,36.07843018,78,105,1016.5,12.52000046,28,-0.3791,10.42741966,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-0.700000763,25.19999886,43.4849987,76.01620424,0.0,-0.5921,94.50980377,78,110,1081.5,10.47000027,29,-0.2551,10.42963123,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-0.799999237,27.89999962,43.4249987,77.69478055,2.700000763,-0.7704,87.84313965,78,111,1204.0,15.38000011,30,-0.2407,10.44906521,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-1.100002289,29.69999886,43.39499868,78.47640812,1.799999237,-0.9471,81.96078491,79,116,1333.0,15.82999992,31,-0.2292,10.45904541,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-1.299999237,32.39999771,43.34999866,79.35711181,2.699998856,-0.9187,81.96078491,79,116,1436.5,16.32999992,32,0.0326,10.47077751,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-1.599998474,35.09999847,43.31999868,79.80467098,2.700000763,-0.6764,77.2549057,79,117,1531.5,17.37999916,32,0.1689,10.48134422,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-0.299999237,37.79999924,43.28999869,80.0856539,2.700000763,-0.8414,74.50980377,79,120,1654.5,18.86000061,33,0.1886,10.49621105,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-0.400001526,40.5,43.2599987,80.20006058,2.700000763,-1.0143,73.72549438,79,123,1755.5,19.29999924,34,0.2304,10.50621128,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-0.899997711,43.19999695,43.24499868,80.18793347,2.699996948,-0.9973,70.58823395,79,124,1844.5,19.79999924,34,0.26,10.51910114,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-0.300003052,45.0,43.30499872,80.17878094,1.800003052,-0.9484,6.666666985,79,114,1808.0,23.40999985,35,0.2027,10.53731728,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
0.0,45.0,43.37999872,80.08839978,0.0,-1.0473,0.0,79,112,1731.5,23.40999985,33,0.281,10.53731728,FullOfHolesCondition,LowCongestionCondition,AggressiveStyle
0.399997711,43.19999695,43.45499865,79.71200182,-1.800003052,-1.0755,43.52941132,79,107,1720.5,18.65999985,32,0.4116,10.5531311,FullOfHolesCondition,LowCongestionCondition,AggressiveStyle
0.800003052,42.29999924,43.52999865,79.18687479,-0.899997711,-1.3737,47.84313965,79,106,1720.0,14.60999966,31,0.487,10.55842686,FullOfHolesCondition,LowCongestionCondition,AggressiveStyle
1.0,40.5,43.60499865,78.37573093,-1.799999237,-1.5096,45.88235474,79,105,1730.0,14.55000019,30,0.5993,10.56519413,FullOfHolesCondition,LowCongestionCondition,AggressiveStyle
1.799999237,42.29999924,43.72499866,77.16393424,1.799999237,-1.6226,45.88235474,79,105,1730.0,14.80000019,29,0.6488,10.57349777,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
