AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-8.300003052,18.89999962,10.75344801,180.4288396,-4.5,0.4114,40.39215851,23.0,102.0,810.0,6.489999771,8.0,-0.0408,21.62732124,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-10.30000305,16.19999886,11.03275833,178.8411807,-2.700000763,0.6606,4.705882549,23.0,102.0,795.5,6.630000114,8.0,-0.176,21.28777504,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-9.100006104,14.39999962,11.28103419,176.8419068,-1.799999237,0.6754,82.35294342,24.0,101.0,908.5,11.90999985,8.0,-0.2035,21.45657921,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-9.299995422,16.19999886,11.36440647,174.2030137,1.799999237,0.7203,82.35294342,24.0,102.0,1101.0,14.40999985,8.0,-0.3106,21.61540413,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-8.600006104,17.10000038,11.4599997,171.7987042,0.900001526,0.6047,83.52941132,24.0,104.0,1347.5,18.04999924,9.0,-0.2385,21.77383423,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-8.699996948,20.69999886,11.80499968,170.8987804,3.599998474,0.4368,75.6862793,24.0,110.0,1614.0,23.02000046,11.0,-0.145,21.93961143,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-9.0,22.5,12.17999968,170.332467,1.800001144,0.3713,38.03921509,24.0,111.0,1656.0,14.72000027,12.0,-0.1473,21.74942207,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-6.0,25.19999886,12.59999966,170.5118567,2.699998856,0.3496,25.09803963,24.0,103.0,805.5,9.359999657,10.0,-0.1859,21.18109322,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-4.5,28.79999924,13.07999965,172.0348396,3.600000381,0.3481,54.11764908,24.0,102.0,1192.0,15.77000046,10.0,-0.177,21.0802803,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.599998474,30.59999847,13.58999963,174.0731103,1.799999237,0.3894,90.58823395,24.0,108.0,1327.5,18.12999916,10.0,-0.1716,20.99221992,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.5,34.20000076,14.15999964,177.8119248,3.600002289,0.4616,81.96078491,25.0,113.0,1466.5,21.40999985,12.0,-0.2127,20.95645332,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.699996948,37.79999924,14.78999963,183.4819247,3.599998474,0.2969,80.78431702,25.0,119.0,1608.5,23.86000061,12.0,-0.1235,20.93811417,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.800003052,40.5,15.46499963,190.5145099,2.700000763,0.2797,73.33333588,25.0,120.0,1715.5,23.61000061,14.0,-0.0637,20.87423515,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.5,43.19999695,16.18499958,198.9714568,2.699996948,0.2761,26.27450943,25.0,107.0,1705.5,23.61000061,15.0,-0.0744,20.87423515,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.200004578,42.29999924,16.88999956,205.5853127,-0.899997711,0.2264,0.0,25.0,105.0,1679.0,23.23999977,14.0,-0.0163,20.80493546,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.900001526,40.5,17.56499956,209.7348472,-1.799999237,0.0505,0.0,25.0,103.0,1647.5,22.21999931,12.0,0.0204,20.74141693,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.5,39.59999847,18.22499954,212.292067,-0.900001526,-0.1268,52.94117737,25.0,104.0,1652.0,16.96999931,11.0,0.0693,20.53590202,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.099998474,40.5,18.89999954,214.608805,0.900001526,-0.0565,18.4313736,25.0,104.0,1639.0,18.98999977,10.0,0.1134,20.39672852,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.199996948,40.5,19.57499954,215.998848,0.0,-0.1432,0.0,26.0,103.0,1639.0,21.77000046,10.0,0.2042,20.33818436,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.0,38.70000076,20.21999955,215.2806033,-1.799999237,-0.2619,0.0,26.0,103.0,1575.5,20.62999916,10.0,0.2969,20.28123283,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.699996948,36.89999771,20.83499951,212.681967,-1.800003052,-0.2046,42.35294342,26.0,103.0,1510.5,19.36000061,10.0,0.3174,20.22243881,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.099998474,36.89999771,21.44999947,209.3140597,0.0,-0.2509,65.88235474,26.0,103.0,1495.0,19.11000061,10.0,0.3295,20.16026497,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.5,38.70000076,22.09499949,206.1360692,1.800003052,-0.1359,45.09804153,26.0,106.0,1563.0,19.32999992,10.0,0.2329,20.08093071,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.099998474,40.5,22.76999949,203.1397564,1.799999237,-0.0847,1.176470637,26.0,106.0,1626.0,20.62999916,11.0,0.2618,20.0116787,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.299995422,39.59999847,23.42999946,198.7099257,-0.900001526,0.2808,1.176470637,26.0,103.0,1599.0,20.86000061,10.0,0.0912,19.96157837,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.900001526,38.70000076,24.07499947,192.9344438,-0.899997711,0.3105,0.0,26.0,104.0,1559.5,17.79999924,10.0,0.0206,19.86645317,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.600006104,38.70000076,24.71999949,186.3128092,0.0,0.431,25.88235283,27.0,103.0,1562.0,19.94000053,10.0,0.0201,19.81362152,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.400001526,37.79999924,25.34999947,178.4516909,-0.900001526,0.4173,0.0,27.0,103.0,1511.0,19.71999931,10.0,0.0005,19.76929665,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.099998474,36.89999771,25.91999944,171.6870465,-0.900001526,0.4797,0.0,27.0,103.0,1457.0,18.73999977,10.0,-0.0474,19.72855186,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.0,35.09999847,26.47499941,162.9415636,-1.799999237,0.5604,0.0,27.0,102.0,1392.5,17.62999916,10.0,-0.1856,19.67689133,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.400001526,33.29999924,26.9849994,153.8860384,-1.799999237,0.6493,0.0,27.0,102.0,1265.5,16.15999985,10.0,-0.2977,19.64174843,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.599998474,32.39999771,27.46499937,144.8799369,-0.900001526,0.8907,4.313725471,27.0,103.0,1104.0,9.630000114,10.0,-0.4169,19.44322968,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-1.299995422,28.79999924,27.88499936,135.0775644,-3.599998474,0.974,11.37254906,27.0,102.0,1025.5,8.409999847,9.0,-0.4452,19.20431519,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-2.700004578,25.19999886,28.24499934,125.0720056,-3.600000381,0.9081,90.98039246,28.0,103.0,1088.0,14.60999966,9.0,-0.4125,19.19403076,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
