AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-0.400001526,45.0,21.98999952,254.5148032,0.0,0.8264,0.0,23.0,106.0,1843.5,23.90999985,16.0,-0.1618,16.99936295,SmoothCondition,LowCongestionCondition,AggressiveStyle
-0.599998474,45.0,22.73999952,254.7207362,0.0,0.7933,33.33333206,24.0,105.0,1798.0,22.37999916,16.0,0.0319,16.99563217,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.299995422,44.09999847,23.47499949,253.139863,-0.900001526,0.7967,7.058823586,24.0,103.0,1779.0,17.90999985,15.0,0.0761,16.90999031,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.699996948,43.19999695,24.19499944,249.8669126,-0.900001526,0.6813,7.058823586,24.0,103.0,1752.0,22.71999931,14.0,0.1214,16.92996216,SmoothCondition,LowCongestionCondition,AggressiveStyle
0.400001526,41.39999771,24.8849994,244.4778951,-1.799999237,0.69,0.0,24.0,103.0,1667.5,21.36000061,14.0,0.1848,16.94479561,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.300003052,39.59999847,25.54499938,237.2089461,-1.799999237,0.8199,5.882352829,24.0,104.0,832.5,6.860000134,14.0,0.124,16.38084602,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.099998474,38.70000076,26.18999939,228.6588709,-0.899997711,0.9594,34.90196228,24.0,102.0,787.5,6.159999847,14.0,0.0679,15.9314003,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.0,35.09999847,26.77499936,218.0307102,-3.600002289,1.1211,37.25490189,25.0,102.0,795.0,6.019999981,13.0,-0.1667,15.64935589,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.800003052,22.5,27.14999936,206.0466005,-12.59999847,1.2744,37.64706039,25.0,102.0,805.5,6.21999979,13.0,-0.2765,15.51673317,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.5,18.89999962,27.46499936,194.6056943,-3.600000381,1.1836,39.2156868,25.0,102.0,801.5,6.380000114,13.0,-0.4723,15.40157223,SmoothCondition,LowCongestionCondition,AggressiveStyle
-3.700004578,18.0,27.76499936,183.2473896,-0.899999619,1.2556,0.0,25.0,101.0,1253.5,12.52000046,13.0,-0.5406,15.5072794,SmoothCondition,LowCongestionCondition,AggressiveStyle
-4.0,18.89999962,28.07999935,171.4124664,0.899999619,1.138,81.96078491,25.0,105.0,1352.0,17.98999977,14.0,-0.4194,15.63607121,SmoothCondition,LowCongestionCondition,AggressiveStyle
-4.5,22.5,28.45499935,158.4330177,3.600000381,1.1277,70.98039246,25.0,108.0,1627.5,21.90999985,15.0,-0.3713,15.75971127,SmoothCondition,LowCongestionCondition,AggressiveStyle
-4.400001526,26.09999847,28.88999933,144.6110778,3.599998474,1.2539,39.60784531,26.0,107.0,1811.0,20.96999931,15.0,-0.445,15.85468674,SmoothCondition,LowCongestionCondition,AggressiveStyle
