AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-0.599998474,14.39999962,18.34137869,226.7382442,-0.899999619,1.6763,98.8235321,25.0,103.0,1223.0,12.52000046,14.0,-1.6696,20.11394119,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.099998474,18.89999962,18.66724076,220.7338072,4.5,1.6671,84.31372833,25.0,109.0,1512.5,16.36000061,15.0,-1.6426,20.24628639,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.599998474,22.5,18.73220278,217.1770357,3.600000381,1.6391,69.41176605,25.0,121.0,1808.5,22.71999931,16.0,-1.6537,20.40319824,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.200004578,27.89999962,18.88499939,214.8968773,5.399999619,1.6399,0.0,25.0,108.0,821.5,27.54999924,20.0,-1.7908,20.5567379,SmoothCondition,LowCongestionCondition,AggressiveStyle
-3.800003052,30.59999847,19.39499937,210.9136909,2.699998856,1.7209,100.0,25.0,102.0,821.5,8.409999847,19.0,-1.7803,20.04893303,SmoothCondition,LowCongestionCondition,AggressiveStyle
-4.800003052,30.59999847,19.90499934,206.4014876,0.0,1.6098,88.62744904,26.0,109.0,1209.0,16.11000061,17.0,-1.7287,19.99664497,SmoothCondition,LowCongestionCondition,AggressiveStyle
-3.800003052,32.39999771,20.4449993,202.0357247,1.799999237,1.6645,79.21569061,26.0,114.0,1376.5,18.98999977,17.0,-1.6543,19.96397591,SmoothCondition,LowCongestionCondition,AggressiveStyle
-3.5,35.09999847,21.02999928,198.2431401,2.700000763,1.57,71.76470947,26.0,114.0,1491.5,21.71999931,18.0,-1.6217,19.95317078,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.599998474,38.70000076,21.67499929,195.616133,3.600002289,1.4118,61.17647171,26.0,117.0,1635.0,21.96999931,20.0,-1.4623,19.9157505,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.700004578,41.39999771,22.36499925,193.7636579,2.699996948,1.3825,0.392156869,26.0,113.0,1700.5,18.86000061,20.0,-1.571,19.78875542,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-5.0,42.29999924,23.06999924,191.5160229,0.900001526,1.3194,57.25490189,26.0,105.0,1676.5,21.19000053,18.0,-1.5197,19.7416935,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-5.700004578,41.39999771,23.7599992,187.7058192,-0.900001526,1.3204,57.25490189,26.0,105.0,1681.5,20.46999931,17.0,-1.4621,19.67202377,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.900001526,41.39999771,24.44999916,182.9272767,0.0,1.3496,3.137254953,26.0,103.0,1636.0,21.23999977,16.0,-1.4271,19.63015747,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.099998474,40.5,25.07999916,178.8717861,-0.899997711,1.2928,0.0,27.0,103.0,1561.0,18.44000053,16.0,-1.2787,19.55388641,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.899993896,38.70000076,25.66499918,173.847728,-1.799999237,0.9796,37.25490189,27.0,102.0,1570.0,15.68999958,15.0,-1.2099,19.40965652,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.0,38.70000076,26.26499919,167.4226444,0.0,0.9177,12.54901981,27.0,102.0,1540.5,19.46999931,15.0,-1.179,19.37204933,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.600002289,37.79999924,26.86499918,159.1670519,-0.900001526,1.005,0.0,27.0,102.0,1467.5,18.40999985,15.0,-1.1937,19.32546425,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-4.0,36.0,27.46499918,147.9826461,-1.799999237,0.9197,0.0,27.0,103.0,892.0,8.109999657,15.0,-1.1945,18.87732697,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-3.5,34.20000076,28.0349992,135.6358675,-1.799999237,0.9945,35.68627548,27.0,102.0,788.0,6.239999771,15.0,-1.2121,18.30882072,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.199996948,32.39999771,28.57499916,122.3408851,-1.800003052,1.1836,38.03921509,28.0,102.0,808.5,6.380000114,15.0,-1.4347,17.92716217,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.899997711,32.39999771,29.03999912,112.5451483,0.0,1.2673,37.25490189,28.0,102.0,805.0,6.130000114,15.0,-1.5525,17.6665554,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.899997711,23.39999962,29.29499912,105.5862417,-8.999998093,1.3128,39.2156868,28.0,101.0,803.5,6.130000114,15.0,-1.5747,17.6665554,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.5,19.79999924,29.45999912,100.7109115,-3.600000381,1.2841,0.784313738,28.0,101.0,1281.0,6.46999979,15.0,-1.576,17.49160194,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.200004578,18.0,29.56499912,97.57959797,-1.799999237,1.2131,76.47058868,28.0,104.0,1419.5,15.15999985,15.0,-1.4614,17.58153343,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.0,24.29999924,29.75999912,93.1326066,6.299999237,1.257,65.09803772,28.0,109.0,1701.0,19.44000053,15.0,-1.4843,17.67955208,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.5,27.89999962,29.96999912,89.60247103,3.600000381,1.4078,33.72549057,29.0,103.0,1788.5,20.21999931,16.0,-1.533,17.75439835,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.0,28.79999924,30.17999913,86.36704717,0.899999619,1.4193,0.0,29.0,103.0,1788.5,21.32999992,16.0,-1.6235,17.83082962,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.199996948,28.79999924,30.37499911,83.46088671,0.0,1.4386,21.17647171,29.0,104.0,1700.5,21.73999977,16.0,-1.6648,17.92188263,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.0,23.39999962,30.4799991,81.28738717,-5.399999619,1.3342,60.7843132,29.0,104.0,1672.5,19.19000053,16.0,-1.6201,17.99653435,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
-1.5,28.79999924,30.6899991,77.8341328,5.399999619,1.3063,0.0,29.0,109.0,1792.0,21.69000053,17.0,-1.4388,18.07133102,FullOfHolesCondition,LowCongestionCondition,EvenPaceStyle
