AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-3.799995422,19.79999924,17.92241344,184.8017649,5.399999619,2.0945,73.33333588,26.0,107.0,1508.0,20.73999977,14.0,-0.4594,20.46597862,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-4.599998474,25.19999886,18.35689618,179.9035435,5.399999619,2.0935,67.05882263,26.0,112.0,1786.0,23.04999924,14.0,-0.3851,20.57042122,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-5.5,28.79999924,18.53389793,178.6502058,3.600000381,2.0416,0.0,26.0,107.0,1147.0,23.04999924,16.0,-0.3335,20.57042122,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-4.299995422,29.69999886,18.71999961,177.7002664,0.899999619,2.0707,34.50980377,27.0,102.0,1084.0,10.97000027,16.0,-0.2501,20.28648758,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-4.900001526,29.69999886,19.21499959,173.5548511,0.0,1.9019,73.72549438,27.0,106.0,1318.0,15.68999958,15.0,-0.1777,20.2337265,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-4.800003052,32.39999771,19.75499955,169.9469184,2.699998856,1.9406,70.19608307,27.0,106.0,1436.5,17.48999977,15.0,-0.1421,20.18767929,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-4.5,35.09999847,20.33999953,166.9753164,2.700000763,1.9497,66.66666412,27.0,106.0,1511.5,18.15999985,15.0,0.0939,20.12099266,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-5.600006104,36.89999771,20.95499949,164.2265785,1.799999237,1.7991,65.09803772,27.0,107.0,1511.5,18.62999916,15.0,0.2235,20.04397774,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-5.900001526,38.70000076,21.5999995,161.697961,1.800003052,1.7067,59.60784531,27.0,106.0,1590.0,18.73999977,15.0,0.2192,19.94951248,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-6.400001526,40.5,22.2749995,159.3812244,1.799999237,1.7445,19.6078434,27.0,106.0,1651.5,19.19000053,15.0,0.2457,19.85855675,SmoothCondition,LowCongestionCondition,EvenPaceStyle
