AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-2.2999878,25.67051888,13.22350089,121.5926897,-2.4769802,0.3555,4.705882549,68,106,1796,15.81000042,24,-0.1133,19.49733543,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.0999756,24.09425926,13.63891915,120.4225707,-1.57625962,0.4492,10.58823586,68,103,1689,14.64999962,22,-0.1289,19.51572227,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.5,22.74317932,14.03104293,118.4567689,-1.35107994,0.4258,27.45098114,68,103,1599,11.85000038,21,-0.1328,19.44176483,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.1000366,22.29281998,14.17107305,117.5713084,-0.45035934,0.414,24.31372643,69,104,1620,12.21000004,20,-0.0859,19.38876915,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.0999756,23.64389992,14.3289535,117.0741485,1.35107994,0.3945,20.0,69,104,1708,11.90999985,21,-0.0664,19.30163765,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.1000366,24.76979828,14.74178347,115.268498,1.12589836,0.2187,23.52941132,69,104,1787,11.36999989,20,-0.0703,19.16961098,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.3000488,25.4453373,15.13960143,114.1115405,0.67553902,0.1719,23.13725471,69,105,1804,11.72999954,21,-0.082,19.04090309,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.2999878,26.79641914,15.57119641,112.7888151,1.35108184,0.1523,26.27450943,69,108,1939,13.82999992,21,-0.1289,18.98648643,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.2000122,28.14749908,16.0140504,111.9504755,1.35107994,0.0508,29.41176605,69,113,2151,16.38999939,22,-0.2031,18.97997665,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.6000366,29.7237606,16.48692841,111.2646558,1.57626152,0.0391,35.68627548,69,119,2270,17.96999931,22,-0.1406,18.99794388,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.5,31.52519989,16.98607741,111.0760557,1.80143929,0.1094,41.96078491,69,133,2452,22.5,23,-0.0469,19.07406425,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.4000244,34.22735977,17.5565334,110.8931707,2.70215988,0.1328,25.09803963,69,130,2169,26.22999954,23,-0.082,19.16825294,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.6000366,35.8036232,18.14575445,111.2237509,1.57626343,0.0312,59.2156868,69,117,1589,20.35000038,22,-0.0664,19.15842628,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.8999634,37.15470123,18.76499948,111.3773745,1.35107803,0.0391,51.37255096,70,124,1682,19.87999916,22,-0.0625,19.12820053,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.2000122,39.40649796,19.42177444,112.1920364,2.25179673,0.1094,30.19607925,70,117,1734,20.73999977,22,-0.0742,19.08440971,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.9000244,40.30722046,20.09356145,112.7330307,0.9007225,0.1172,19.2156868,70,106,1744,12.46000004,20,-0.1367,18.75436211,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7000122,40.30722046,20.76534846,112.3561312,0.0,0.1406,17.64705849,70,104,1721,11.19999981,19,-0.0937,18.37468147,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.1000366,40.30722046,21.41086446,112.163965,0.0,0.2539,6.274509907,70,102,1706,11.10000038,19,0.0156,18.01745987,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.1999512,39.18132019,22.05262747,109.8101316,-1.12590027,0.1055,32.54901886,70,104,1740,12.02999973,19,0.0625,17.75112152,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.4000244,40.30722046,22.71690848,107.0998952,1.12590027,-0.0156,47.84313965,70,117,1814,23.28000069,20,0.1953,17.70003891,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.5999756,42.3338356,23.4224724,104.3693303,2.02661514,-0.1055,55.68627548,70,136,1936,26.93000031,21,0.2773,17.73310852,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.7999878,45.48635864,24.18057838,102.7374554,3.15252304,-0.1914,46.66666794,71,139,2041,23.25,23,0.2773,17.70068932,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.5,47.96333694,24.97996733,101.764199,2.4769783,-0.2305,50.19607925,71,141,2150,26.42000008,22,0.2656,17.69702721,SmoothCondition,LowCongestionCondition,EvenPaceStyle
