AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-1.89996338,23.19353867,2.687147888,48.99898236,-0.67554092,-1.08,53.33333588,80,106,1692,11.39000034,21,0.457,19.09676552,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.59997559,24.09425926,3.088718875,56.47979758,0.90072059,-1.23,46.66666794,80,116,1903,25.20999908,22,0.535,19.15909767,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.7999878,27.2467804,3.542831882,66.00011343,3.15252114,-1.23,25.49019623,80,142,2172,25.37999916,25,0.566,19.17595863,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.59997558,31.3000164,4.064498822,78.56929056,4.053236,-1.27,24.70588303,80,130,2318,20.60000038,23,0.578,19.16070557,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.5,32.87627792,4.612436787,92.05377028,1.57626152,-1.26,60.39215851,80,123,2040,17.77000046,23,0.594,19.12321472,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.59997558,33.77699661,5.175386731,105.7873672,0.90071869,-1.27,50.58823776,80,116,1518,18.54999924,22,0.621,19.11994171,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.5,35.57844162,5.768360758,120.6426897,1.80144501,-1.33,50.58823776,80,124,1625,20.29000092,23,0.621,19.11861038,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.40002442,37.379879,6.391358741,136.6211051,1.80143738,-1.26,43.92156982,80,129,1695,16.51000023,22,0.578,19.08260155,SmoothCondition,LowCongestionCondition,AggressiveStyle
-1.29998779,39.63167572,7.05188667,154.2124844,2.25179672,-1.41,0.0,81,112,1665,16.62000084,23,0.621,19.05380249,SmoothCondition,LowCongestionCondition,AggressiveStyle
-0.90002442,38.05541992,7.686143669,169.2523666,-1.5762558,-1.34,0.0,81,109,1582,15.26000023,22,0.531,19.10480309,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.0,36.92951965,8.301635663,182.3603058,-1.12590027,-1.23,0.0,81,107,1492,14.57999992,21,0.488,19.10692406,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.79998779,34.67771912,8.879597648,192.6440045,-2.25180053,-0.926,0.0,81,106,1403,13.10999966,21,0.348,19.15422821,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7999878,32.200737,9.416276598,200.2329337,-2.47698212,-0.629,0.0,81,105,1256,11.27999973,20,0.285,19.1527729,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.70001221,27.69713783,9.877895562,204.1776473,-4.50359917,-0.559,2.745098114,81,103,1072,9.359999657,20,0.199,19.14443398,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.20001221,24.31943893,10.28321954,205.8916829,-3.3776989,-0.559,76.07843018,81,102,1036,10.31000042,19,0.238,19.14577484,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.09997559,24.76979828,10.69604952,207.4830498,0.45035935,-0.531,40.7843132,81,106,1154,12.17000008,21,0.215,19.14187622,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.2999878,26.57123947,11.13890351,209.6160837,1.80144119,-0.527,11.37254906,81,108,1200,11.97999954,21,0.215,19.12166023,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.59997558,27.02159882,11.58926349,211.5824463,0.45035935,-0.648,26.66666794,81,105,1169,7.699999809,21,0.23,19.03155708,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.70001221,27.02159882,12.03962347,213.1362852,0.0,-0.68,26.66666794,81,102,1180,7.070000172,19,0.215,18.90904236,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.59997559,27.69713783,12.50124243,214.617975,0.67553901,-0.562,1.176470637,81,101,1216,7.53000021,19,0.0977,18.79464531,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.59997559,27.92231941,12.96661442,215.7795731,0.22518158,-0.418,0.0,81,100,1184,11.13000011,21,0.121,18.78457069,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.69995118,26.79641914,13.41322141,215.9687755,-1.12590027,-0.207,0.0,81,102,1095,9.779999733,21,0.0625,18.82858658,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.40002442,24.99497986,13.8298044,215.016405,-1.80143928,-0.18,2.745098114,81,102,1020,8.979999542,21,-0.0039,18.86429787,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.0,23.19353867,14.21636338,213.1087839,-1.80144119,-0.0234,18.03921509,81,102,952,6.329999924,21,-0.0937,18.84645081,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.70001221,21.84246063,14.58040439,210.5342216,-1.35107804,0.117,22.35294151,81,101,927,5.570000172,18,-0.199,18.82466316,SmoothCondition,LowCongestionCondition,EvenPaceStyle
