AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-0.3000488,111.6892776,116.6019536,19.28804499,0.6755371,0.41,59.60784531,82,158,2253,31.51000023,18,-0.5039,10.00047779,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.2000122,112.8151779,116.4968695,19.41237422,1.1259003,0.367,59.2156868,82,160,2253,31.73999977,18,-0.5859,9.987345695,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.1000366,112.3648148,116.3692675,19.47471154,-0.4503631,0.352,59.2156868,82,161,2265,31.93000031,18,-0.5195,9.976037025,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.2000122,112.8151779,116.2641834,19.54930868,0.4503631,0.305,60.39215851,82,163,2273,32.88999939,18,-0.5195,9.970778465,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.3999634,113.7158966,116.1666054,19.46439719,0.9007187,0.305,60.39215851,82,164,2284,32.99000168,18,-0.4687,9.952646255,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.5,113.9410706,116.0690273,19.31543109,0.225174,0.34,51.37255096,82,157,2292,32.97000122,18,-0.414,9.934053421,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7000122,114.8417969,116.0127324,19.2593541,0.9007263,0.344,51.37255096,82,145,2292,27.45999908,18,-0.3398,9.904338837,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7999878,114.8417969,115.9564376,19.19683145,0.0,0.418,50.98039246,82,148,2291,28.04000092,17,-0.2851,9.876173019,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.9000244,113.7158966,115.8588595,19.05084354,-1.1259003,0.437,37.25490189,82,131,2292,23.46999931,17,-0.2617,9.830170631,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.1999512,114.1662521,115.7687874,18.85764482,0.4503555,0.469,45.49019623,82,139,2287,23.95000076,17,-0.1914,9.782176971,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.5,113.9410706,115.6824682,18.71631195,-0.2251815,0.371,45.09804153,82,143,2286,25.28000069,17,-0.289,9.738400459,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.8999634,114.3914413,115.6074081,18.56390647,0.4503707,0.363,45.49019623,82,144,2291,25.02000046,17,-0.3125,9.699338913,SmoothCondition,LowCongestionCondition,EvenPaceStyle
