AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
-2.2999878,43.91009903,16.69334321,225.415733,0.22517777,-0.387,20.3921566,67,105,1890,12.27000046,28,0.082,19.02667999,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-2.2000122,43.68492126,17.42142523,232.5016884,-0.22517777,-0.371,38.82352829,67,105,1874,12.68000031,28,0.0664,18.58636665,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-1.9000244,45.26117706,18.17577819,239.9152956,1.5762558,-0.355,41.5686264,67,110,1917,18.60000038,28,0.0586,18.43258667,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.9000244,48.41369629,18.98267312,249.1510246,3.15251923,-0.285,49.01960754,67,120,1970,25.53000069,31,0.0781,18.43110275,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.2000122,49.08923721,19.80082708,257.7256139,0.67554092,-0.289,47.84313965,67,138,2064,25.90999985,30,0.0039,18.41811371,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.5,49.98995972,20.56268607,268.4987132,0.90072251,-0.262,47.84313965,67,142,2137,25.0,30,0.0078,18.37295723,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.6000366,52.24176025,21.36207508,280.3638836,2.25180053,-0.195,39.2156868,67,140,2224,22.45999908,30,0.0117,18.26209068,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.3999634,52.6921196,22.20274707,290.0921093,0.45035935,-0.148,35.68627548,68,133,2251,20.84000015,29,-0.0625,18.10990524,SmoothCondition,LowCongestionCondition,EvenPaceStyle
3.2999878,53.59283829,23.04341904,299.9230061,0.90071869,-0.176,33.72549057,68,127,2294,20.23999977,28,-0.0625,17.94148636,SmoothCondition,LowCongestionCondition,EvenPaceStyle
3.5999756,53.36766052,23.83530206,309.8633812,-0.22517777,-0.125,34.90196228,68,125,2307,20.20999908,28,-0.0781,17.77252197,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.9000244,52.01657867,24.61217303,316.9527295,-1.35108185,-0.0508,34.90196228,68,125,2331,19.51000023,28,-0.1484,17.59522247,SmoothCondition,LowCongestionCondition,EvenPaceStyle
2.4000244,53.81801987,25.47536303,322.0064323,1.8014412,0.0234,20.0,69,117,2349,17.64999962,27,-0.1406,17.37577248,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.5,54.49356079,26.34605904,326.3663514,0.67554092,0.152,16.47058868,69,112,2239,23.71999931,27,-0.1641,17.31198883,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.0999756,52.24176025,27.19048405,326.6080664,-2.25180054,0.312,0.0,69,110,2175,23.18000031,28,-0.2383,17.25654602,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.0,48.63887787,27.95609601,323.6451153,-3.60288238,0.359,0.0,69,110,2002,21.56999969,28,-0.2187,17.20638466,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.3999634,44.81082153,28.65790703,317.1496606,-3.82805634,0.34,0.0,69,108,1872,20.17000008,28,-0.1758,17.15737915,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.3999634,43.00937653,29.34095298,308.1453575,-1.801445,0.418,42.35294342,69,118,1890,24.36000061,28,-0.1758,17.17653847,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.5,44.36046219,30.06903501,297.5025363,1.35108566,0.352,62.74509811,69,139,1990,30.52000046,28,-0.1797,17.2361908,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.7000122,47.06261826,30.85341198,286.446946,2.70215607,0.336,55.29411697,69,154,2121,32.31999969,27,-0.1875,17.2931385,SmoothCondition,LowCongestionCondition,EvenPaceStyle
-0.3000488,50.89067459,31.70158989,276.3858361,3.82805633,0.246,44.31372452,69,150,2197,27.37999916,27,-0.1211,17.29532814,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.3999634,52.46693802,32.57603886,265.8829415,1.57626343,0.145,47.45098114,70,142,2283,27.88999939,26,-0.0859,17.2919693,SmoothCondition,LowCongestionCondition,EvenPaceStyle
0.7000122,54.71873856,33.37918084,262.0390813,2.25180054,0.0976,41.96078491,70,135,2358,23.88999939,26,-0.0937,17.22950363,SmoothCondition,LowCongestionCondition,EvenPaceStyle
1.5,56.52017593,34.20108777,258.8174853,1.80143737,0.0859,46.66666794,70,133,2429,27.34000015,26,-0.0898,17.20617867,SmoothCondition,LowCongestionCondition,EvenPaceStyle
